Rank,Player,Nation,Position,Squad,Age,Year of Birth,Matches Played,Starts,Minutes,Minutes Played Divided By 90,Goals,Assists,Goals and Assists,Non-penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals per 90,Assists per 90,Goals and Assists per 90,Non-penalty Goals per 90,Goals and Assists minus Penalty Kicks per 90
23,Mohammed Azhar,inIND,MF,Kerala Blasters,21.0,2003.0,6,1,102,1.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
24,Mushaga Bakenga,noNOR,FW,Punjab,31.0,1992.0,10,3,374,4.2,1,1,2,1,0,0,1,0,0.24,0.24,0.48,0.24,0.48
25,Sayan Banerjee,inIND,MF,East Bengal,21.0,2003.0,8,0,70,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
26,Nikhil Barla,inIND,"DF,MF",Jamshedpur,20.0,2003.0,19,11,1112,12.4,1,1,2,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16
27,Vincy Barretto,inIND,MF,Chennaiyin,24.0,1999.0,15,4,430,4.8,1,0,1,1,0,0,1,0,0.21,0.0,0.21,0.21,0.21
28,Saurabh Bhanwala,inIND,DF,Mohun Bagan,24.0,1999.0,3,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
29,Suhail Bhat,inIND,FW,Mohun Bagan,19.0,2005.0,11,1,131,1.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
30,Hardik Bhatt,inIND,DF,Mumbai City,27.0,1997.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
31,Rahul Bheke,inIND,DF,Bengaluru,33.0,1990.0,21,21,1890,21.0,3,0,3,3,0,0,7,0,0.14,0.0,0.14,0.14,0.14
32,Namgyal Bhutia,inIND,DF,Bengaluru,24.0,1999.0,5,3,286,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
33,Sagolsem Bikash Singh,inIND,"FW,MF",Mohammedan,23.0,2001.0,21,10,998,11.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
34,Dippendu Biswas,inIND,DF,Mohun Bagan,21.0,2003.0,14,11,956,10.6,1,2,3,1,0,0,2,0,0.09,0.19,0.28,0.09,0.28
35,Gaurav Bora,inIND,DF,Mohammedan,26.0,1998.0,15,12,1064,11.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
36,Rowllin Borges,inIND,MF,Goa,32.0,1992.0,12,8,636,7.1,0,1,1,0,0,0,0,0,0.0,0.14,0.14,0.0,0.14
37,Subashish Bose,inIND,DF,Mohun Bagan,28.0,1995.0,22,22,1952,21.7,6,1,7,6,0,0,7,0,0.28,0.05,0.32,0.28,0.32
38,Hugo Boumous,frFRA,MF,Odisha,29.0,1995.0,21,20,1740,19.3,6,7,13,6,0,0,6,0,0.31,0.36,0.67,0.31,0.67
39,Lukas Brambilla,brBRA,"MF,FW",Chennaiyin,29.0,1995.0,21,13,1228,13.6,4,4,8,3,1,1,2,0,0.29,0.29,0.59,0.22,0.51
40,Pedro Capó,esESP,MF,Bengaluru,33.0,1990.0,20,18,1590,17.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
41,Richard Celis,veVEN,"MF,FW",East Bengal,28.0,1996.0,6,4,416,4.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
42,Souvik Chakrabarti,inIND,MF,East Bengal,37.0,1987.0,20,18,1556,17.3,0,0,0,0,0,0,6,1,0.0,0.0,0.0,0.0,0.0
43,Fredy Chawngthansanga,inIND,FW,NorthEast Utd,21.0,2003.0,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
44,Lalhriatpuia Chawngthu,inIND,MF,Jamshedpur,19.0,2005.0,1,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
45,Padam Chettri,inIND,GK,Mohammedan,27.0,1997.0,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
46,Lallianzuala Chhangte,inIND,"FW,MF",Mumbai City,26.0,1997.0,23,23,2008,22.3,6,3,9,4,2,2,2,0,0.27,0.13,0.4,0.18,0.31
47,Ayush Chhetri,inIND,MF,Goa,21.0,2003.0,21,14,1195,13.3,1,2,3,1,0,0,3,0,0.08,0.15,0.23,0.08,0.23
48,Sunil Chhetri,inIND,FW,Bengaluru,39.0,1984.0,23,17,1648,18.3,11,2,13,7,4,5,0,0,0.6,0.11,0.71,0.38,0.49
49,Ayush Chhikara,inIND,FW,Mumbai City,22.0,2002.0,7,1,132,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
50,Daniel Chima Chukwu,ngNGA,FW,Chennaiyin,33.0,1991.0,22,7,782,8.7,6,1,7,6,0,0,2,0,0.69,0.12,0.81,0.69,0.81
51,Makan Chote,inIND,"FW,MF",Mohammedan,24.0,2000.0,19,7,602,6.7,1,1,2,1,0,0,0,0,0.15,0.15,0.3,0.15,0.3
52,Farukh Choudhary,inIND,MF,Chennaiyin,27.0,1996.0,20,13,1115,12.4,2,1,3,2,0,0,1,0,0.16,0.08,0.24,0.16,0.24
53,Pratik Chowdhary,inIND,DF,Jamshedpur,34.0,1989.0,21,21,1869,20.8,2,0,2,2,0,0,6,0,0.1,0.0,0.1,0.1,0.1
54,Lazar Ćirković,rsSRB,"DF,MF",Jamshedpur,31.0,1992.0,19,10,915,10.2,1,0,1,1,0,0,2,0,0.1,0.0,0.1,0.1,0.1
55,Alexandre Coeff,frFRA,"MF,DF",Kerala Blasters,32.0,1992.0,13,10,748,8.3,1,0,1,1,0,0,2,0,0.12,0.0,0.12,0.12,0.12
56,Liston Colaco,inIND,MF,Mohun Bagan,25.0,1998.0,24,21,1870,20.8,4,1,5,4,0,0,1,0,0.19,0.05,0.24,0.19,0.24
57,Edmilson Correia,gwGNB,"MF,FW",Hyderabad FC,24.0,2000.0,16,9,882,9.8,2,1,3,2,0,0,3,0,0.2,0.1,0.31,0.2,0.31
58,Saúl Crespo,esESP,MF,East Bengal,28.0,1996.0,13,12,1046,11.6,1,2,3,1,0,1,4,0,0.09,0.17,0.26,0.09,0.26
59,Jason Cummings,auAUS,"FW,MF",Mohun Bagan,28.0,1995.0,22,8,808,9.0,4,6,10,4,0,0,4,0,0.45,0.67,1.11,0.45,1.11
60,Leander D'Cunha,inIND,DF,Hyderabad FC,26.0,1997.0,10,4,361,4.0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0
61,Vignesh Dakshina Murthy,inIND,DF,Chennaiyin,26.0,1998.0,9,6,507,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
62,Rohit Danu,inIND,"MF,FW",Bengaluru,22.0,2002.0,5,2,207,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
63,Nitesh Darjee,inIND,DF,Punjab,20.0,2004.0,3,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
64,Prabir Das,inIND,"DF,MF",Mumbai City,30.0,1993.0,5,0,63,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
65,Prabir Das,inIND,"DF,MF",Kerala Blasters,30.0,1993.0,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
66,Ritwik Das,inIND,MF,Jamshedpur,27.0,1996.0,9,3,252,2.8,1,0,1,1,0,0,0,0,0.36,0.0,0.36,0.36,0.36
67,Sourav Das,inIND,MF,Jamshedpur,28.0,1996.0,19,19,1264,14.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
68,Supratim Das,inIND,MF,Mumbai City,19.0,2005.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
69,Tanmay Das,inIND,MF,East Bengal,23.0,2001.0,1,1,83,0.9,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0
70,Carlos Delgado,esESP,DF,Odisha,34.0,1990.0,18,10,883,9.8,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0
71,Israfil Dewan,inIND,FW,Mohammedan,23.0,2001.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
72,Suman Dey,inIND,DF,East Bengal,21.0,2003.0,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
73,Abhishek Dhananjay,inIND,MF,Mohun Bagan,23.0,2001.0,11,4,414,4.6,0,1,1,0,0,0,4,0,0.0,0.22,0.22,0.0,0.22
74,Dimitris Diamantakos,grGRE,FW,East Bengal,31.0,1993.0,19,18,1441,16.0,4,1,5,3,1,1,2,1,0.25,0.06,0.31,0.19,0.25
75,Soraisham Dinesh Singh,inIND,DF,NorthEast Utd,26.0,1997.0,15,13,1111,12.3,0,1,1,0,0,0,8,1,0.0,0.08,0.08,0.0,0.08
76,Aibanbha Dohling,inIND,DF,Kerala Blasters,28.0,1996.0,12,7,590,6.6,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,0.0
77,Dorielton,brBRA,FW,Odisha,34.0,1990.0,10,5,526,5.8,3,1,4,3,0,0,2,0,0.51,0.17,0.68,0.51,0.68
78,Seiminlen Doungel,inIND,MF,Jamshedpur,30.0,1994.0,18,1,453,5.0,0,2,2,0,0,0,2,0,0.0,0.4,0.4,0.0,0.4
79,Dejan Dražić,rsSRB,"MF,FW",Goa,28.0,1995.0,21,13,1151,12.8,1,3,4,1,0,0,1,0,0.08,0.23,0.31,0.08,0.31
80,Miloš Drinčić,meMNE,DF,Kerala Blasters,25.0,1999.0,21,19,1642,18.2,1,0,1,1,0,0,3,1,0.05,0.0,0.05,0.05,0.05
81,Ryan Edwards,engENG,DF,Chennaiyin,30.0,1993.0,20,19,1542,17.1,1,0,1,1,0,0,7,1,0.06,0.0,0.06,0.06,0.06
82,Stephen Eze,ngNGA,DF,Jamshedpur,30.0,1994.0,21,19,1637,18.2,3,0,3,3,0,0,7,1,0.16,0.0,0.16,0.16,0.16
83,Mourtada Fall,snSEN,DF,Odisha,36.0,1987.0,21,20,1842,20.5,5,1,6,5,0,0,4,1,0.24,0.05,0.29,0.24,0.29
84,Lalremsanga Fanai,inIND,"FW,MF",Mohammedan,22.0,2001.0,23,22,1761,19.6,2,0,2,1,1,1,1,0,0.1,0.0,0.1,0.05,0.05
85,Lalremtluanga Fanai,inIND,MF,Bengaluru,19.0,2004.0,21,6,854,9.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
86,Danish Farooq,inIND,MF,Kerala Blasters,28.0,1996.0,20,13,1212,13.5,1,0,1,1,0,0,4,0,0.07,0.0,0.07,0.07,0.07
87,Brandon Fernandes,inIND,MF,Mumbai City,29.0,1994.0,22,18,1526,17.0,0,2,2,0,0,0,3,0,0.0,0.12,0.12,0.0,0.12
88,Brison Fernandes,inIND,MF,Goa,23.0,2001.0,22,15,1261,14.0,7,2,9,7,0,0,1,0,0.5,0.14,0.64,0.5,0.64
89,Nora Fernandes,inIND,GK,Kerala Blasters,26.0,1998.0,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
90,Raynier Fernandes,inIND,MF,Odisha,,,16,6,584,6.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
91,Seriton Fernandes,inIND,DF,Goa,31.0,1992.0,6,1,181,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
92,França,brBRA,FW,Mohammedan,29.0,1995.0,24,22,1874,20.8,1,1,2,1,0,1,4,0,0.05,0.05,0.1,0.05,0.1
93,Narender Gahlot,inIND,DF,Odisha,23.0,2001.0,4,1,94,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
94,Saviour Gama,inIND,DF,Odisha,27.0,1997.0,19,7,883,9.8,0,1,1,0,0,0,5,0,0.0,0.1,0.1,0.0,0.1
95,Petros Giakoumakis,grGRE,FW,Punjab,32.0,1992.0,10,5,525,5.8,1,2,3,1,0,0,0,0,0.17,0.34,0.51,0.17,0.51
96,Cy Goddard,jpJPN,"MF,FW",Hyderabad FC,27.0,1997.0,21,16,1419,15.8,1,2,3,1,0,0,1,0,0.06,0.13,0.19,0.06,0.19
97,Albino Gomes,inIND,GK,Jamshedpur,30.0,1994.0,24,24,2142,23.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
98,Alexis Gómez,arARG,"MF,FW",Mohammedan,24.0,2000.0,21,20,1730,19.2,1,1,2,0,1,1,5,0,0.05,0.05,0.1,0.0,0.05
99,Amrit Gope,inIND,GK,Jamshedpur,24.0,1999.0,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
100,Iker Guarrotxena,esESP,"FW,MF",Goa,31.0,1992.0,19,13,1232,13.7,7,3,10,7,0,0,1,0,0.51,0.22,0.73,0.51,0.73
101,Guillermo,esESP,"FW,MF",NorthEast Utd,31.0,1993.0,18,12,1091,12.1,5,0,5,5,0,0,0,0,0.41,0.0,0.41,0.41,0.41
102,Jay Gupta,inIND,DF,Goa,22.0,2001.0,16,6,647,7.2,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
103,Pronay Halder,inIND,"DF,MF",Jamshedpur,31.0,1993.0,7,2,199,2.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
104,Robi Hansda,inIND,FW,Mohammedan,25.0,1999.0,5,1,155,1.7,1,1,2,1,0,0,0,0,0.58,0.58,1.16,0.58,1.16
105,Javi Hernández,esESP,"MF,FW",Jamshedpur,35.0,1989.0,23,23,1973,21.9,7,3,10,4,3,3,4,0,0.32,0.14,0.46,0.18,0.32
106,Borja Herrera,esESP,MF,Goa,31.0,1993.0,20,15,1321,14.7,5,4,9,5,0,0,4,1,0.34,0.27,0.61,0.34,0.61
107,Lalrinliana Hnamte,inIND,MF,Chennaiyin,21.0,2003.0,21,18,1601,17.8,0,1,1,0,0,0,2,0,0.0,0.06,0.06,0.0,0.06
108,Sajad Hussain Parray,inIND,DF,Mohammedan,21.0,2003.0,5,3,263,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
109,Mohammed Irshad,inIND,MF,Mohammedan,29.0,1994.0,17,12,1036,11.5,1,0,1,1,0,0,6,1,0.09,0.0,0.09,0.09,0.09
110,Ahmed Jahouh,maMAR,MF,Odisha,36.0,1988.0,16,15,1340,14.9,1,4,5,0,1,1,9,3,0.07,0.27,0.34,0.0,0.27
111,Mohammed Jassim,inIND,DF,Mohammedan,27.0,1996.0,2,1,86,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
112,Sandesh Jhingan,inIND,DF,Goa,31.0,1993.0,18,17,1560,17.3,1,1,2,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12
113,Jesús Jiménez,esESP,FW,Kerala Blasters,30.0,1993.0,18,15,1340,14.9,11,1,12,9,2,2,0,0,0.74,0.07,0.81,0.6,0.67
114,Ricky John Shabong,inIND,MF,Punjab,21.0,2002.0,24,17,1691,18.8,1,2,3,1,0,0,3,0,0.05,0.11,0.16,0.05,0.16
115,Lalbiakhlua Jongte,inIND,GK,Hyderabad FC,22.0,2002.0,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
116,Wilmar Jordán,coCOL,FW,Chennaiyin,33.0,1990.0,22,18,1487,16.5,10,1,11,9,1,1,1,1,0.61,0.06,0.67,0.54,0.61
117,Soyal Joshy,inIND,DF,Hyderabad FC,22.0,2002.0,5,1,120,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
118,Aleksandar Jovanović,auAUS,DF,Bengaluru,34.0,1989.0,20,13,1040,11.6,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0
119,Elson José Dias Júnior,brBRA,"MF,DF",Chennaiyin,33.0,1991.0,21,14,1260,14.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
120,Abdul Rabeeh A K,inIND,"MF,DF",Hyderabad FC,23.0,2001.0,24,23,2052,22.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
121,Vishal Kaith,inIND,GK,Mohun Bagan,28.0,1996.0,23,23,2070,23.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
122,Nikos Karelis,grGRE,FW,Mumbai City,32.0,1992.0,18,18,1392,15.5,10,2,12,8,2,2,1,0,0.65,0.13,0.78,0.52,0.65
123,Laxmikant Kattimani,inIND,GK,Goa,35.0,1989.0,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
124,Imran Khan,inIND,MF,Jamshedpur,29.0,1994.0,24,22,1578,17.5,0,3,3,0,0,0,1,0,0.0,0.17,0.17,0.0,0.17
125,Manglenthang Kipgen,inIND,MF,Punjab,19.0,2005.0,5,0,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
126,Pritam Kotal,inIND,DF,Kerala Blasters,30.0,1993.0,14,11,1014,11.3,0,1,1,0,0,0,2,0,0.0,0.09,0.09,0.0,0.09
127,Pritam Kotal,inIND,DF,Chennaiyin,30.0,1993.0,7,7,585,6.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
128,Rahul KP,inIND,"MF,FW",Odisha,24.0,2000.0,8,8,623,6.9,1,1,2,1,0,0,1,1,0.14,0.14,0.29,0.14,0.29
129,Rahul KP,inIND,"MF,FW",Kerala Blasters,24.0,2000.0,11,6,515,5.7,1,0,1,1,0,0,1,0,0.17,0.0,0.17,0.17,0.17
130,Roy Krishna,fjFIJ,"FW,MF",Odisha,36.0,1987.0,9,6,524,5.8,3,0,3,3,0,0,0,0,0.52,0.0,0.52,0.52,0.52
131,Thaer Krouma,sySYR,"DF,MF",Mumbai City,34.0,1990.0,17,9,890,9.9,2,1,3,2,0,0,1,0,0.2,0.1,0.3,0.2,0.3
132,Nanda Kumar,inIND,"MF,FW",East Bengal,28.0,1995.0,18,14,1165,12.9,0,1,1,0,0,0,5,1,0.0,0.08,0.08,0.0,0.08
133,Nishu Kumar,inIND,"DF,MF",East Bengal,26.0,1997.0,13,8,849,9.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
134,Ravi Kumar,inIND,GK,Punjab,31.0,1993.0,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
135,Rohit Kumar,inIND,MF,Odisha,27.0,1997.0,18,6,593,6.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
136,Som Kumar,inIND,GK,Kerala Blasters,19.0,2005.0,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
137,Ashique Kuruniyan,inIND,"DF,MF",Mohun Bagan,27.0,1997.0,15,2,358,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
138,Phurba Lachenpa,inIND,GK,Mumbai City,26.0,1998.0,19,18,1654,18.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
139,Dušan Lagator,meMNE,DF,Kerala Blasters,30.0,1994.0,7,4,387,4.3,1,1,2,1,0,0,2,0,0.23,0.23,0.47,0.23,0.47
140,Provat Lakra,inIND,DF,East Bengal,26.0,1997.0,13,7,665,7.4,0,1,1,0,0,0,5,1,0.0,0.14,0.14,0.0,0.14
141,Lalchungnunga,inIND,DF,East Bengal,23.0,2000.0,18,16,1468,16.3,2,0,2,2,0,0,10,3,0.12,0.0,0.12,0.12,0.12
142,Laldanmawia,inIND,DF,Hyderabad FC,20.0,2004.0,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
143,Jeremy Laldinpuia,inIND,MF,Mohammedan,24.0,2000.0,2,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
144,David Lalhlansanga,inIND,"FW,MF",East Bengal,22.0,2001.0,17,6,574,6.4,4,0,4,4,0,0,0,0,0.63,0.0,0.63,0.63,0.63
145,Daniel Lalhlimpuia,inIND,FW,Mumbai City,26.0,1997.0,4,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
146,Freddy Lallawmawma,inIND,MF,Kerala Blasters,22.0,2002.0,17,11,1092,12.1,1,0,1,1,0,0,4,0,0.08,0.0,0.08,0.08,0.08
147,K Lalrinfela,inIND,MF,Mohammedan,24.0,2000.0,11,7,696,7.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
148,Jerry Lalrinzuala,inIND,DF,Odisha,26.0,1998.0,19,17,1240,13.8,0,1,1,0,0,0,2,0,0.0,0.07,0.07,0.0,0.07
149,K Lalthathanga,inIND,MF,Odisha,26.0,1998.0,22,22,1793,19.9,1,0,1,1,0,0,5,0,0.05,0.0,0.05,0.05,0.05
150,Khaiminthang Lhungdim,inIND,"DF,MF",Punjab,24.0,2000.0,17,17,1479,16.4,1,2,3,1,0,0,6,2,0.06,0.12,0.18,0.06,0.18
151,Macarton Louis Nickson,inIND,MF,NorthEast Utd,20.0,2004.0,20,15,1313,14.6,2,1,3,2,0,0,5,0,0.14,0.07,0.21,0.14,0.21
152,Adrián Luna,uyURU,MF,Kerala Blasters,32.0,1992.0,22,20,1824,20.3,0,6,6,0,0,0,4,0,0.0,0.3,0.3,0.0,0.3
153,Jithin M.S.,inIND,MF,NorthEast Utd,26.0,1998.0,22,19,1538,17.1,2,5,7,2,0,0,4,0,0.12,0.29,0.41,0.12,0.41
154,Jamie Maclaren,auAUS,FW,Mohun Bagan,31.0,1993.0,22,19,1632,18.1,11,2,13,10,1,1,3,0,0.61,0.11,0.72,0.55,0.66
155,Hijazi Maher,joJOR,DF,East Bengal,26.0,1997.0,13,13,1120,12.4,2,0,2,2,0,0,3,0,0.16,0.0,0.16,0.16,0.16
156,Luka Majcen,siSVN,FW,Punjab,35.0,1989.0,20,14,1247,13.9,10,3,13,8,2,2,5,0,0.72,0.22,0.94,0.58,0.79
157,Debjit Majumder,inIND,GK,East Bengal,36.0,1988.0,4,3,273,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
158,Chaku Mandi,inIND,DF,East Bengal,24.0,2000.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
159,César Manzoki,cfCTA,FW,Mohammedan,27.0,1996.0,12,4,563,6.3,1,0,1,1,0,1,3,0,0.16,0.0,0.16,0.16,0.16
160,Jeremy Manzorro,frFRA,MF,Mumbai City,32.0,1991.0,9,5,422,4.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
161,Zothanpuia Mark,inIND,DF,East Bengal,22.0,2002.0,7,3,300,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
162,Diego Maurício,brBRA,FW,Odisha,33.0,1991.0,22,16,1417,15.7,9,6,15,6,3,4,1,0,0.57,0.38,0.95,0.38,0.76
163,Jerry Mawihmingthanga,inIND,"MF,FW",Odisha,27.0,1997.0,22,13,1060,11.8,5,2,7,5,0,0,3,0,0.42,0.17,0.59,0.42,0.59
164,Mayakkannan,inIND,MF,NorthEast Utd,27.0,1997.0,23,23,1992,22.1,0,1,1,0,0,0,2,0,0.0,0.05,0.05,0.0,0.05
165,Carl McHugh,ieIRL,MF,Goa,31.0,1993.0,20,19,1624,18.0,1,1,2,1,0,0,7,1,0.06,0.06,0.11,0.06,0.11
166,Ninthoinganba Meetei,inIND,FW,Punjab,23.0,2001.0,9,1,240,2.7,0,1,1,0,0,0,1,0,0.0,0.37,0.37,0.0,0.37
167,Ashutosh Mehta,inIND,DF,Jamshedpur,33.0,1991.0,12,9,774,8.6,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
168,Danny Meitei,inIND,MF,NorthEast Utd,16.0,2007.0,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
169,N. Meitei,inIND,DF,Punjab,30.0,1994.0,22,21,1832,20.4,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
170,Sukham Meitei,inIND,MF,Kerala Blasters,20.0,2004.0,3,1,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
171,Édgar Méndez,esESP,FW,Bengaluru,34.0,1990.0,22,19,1632,18.1,7,4,11,7,0,0,6,0,0.39,0.22,0.61,0.39,0.61
172,Raphaël Messi Bouli,cmCMR,FW,East Bengal,32.0,1992.0,5,4,352,3.9,2,1,3,2,0,0,2,0,0.51,0.26,0.77,0.51,0.77
173,Mirshad Michu,inIND,GK,NorthEast Utd,30.0,1994.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
174,Samik Mitra,inIND,GK,Chennaiyin,23.0,2000.0,7,7,630,7.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
175,Yasir Mohammad,inIND,MF,Goa,24.0,1999.0,19,12,944,10.5,2,2,4,2,0,0,1,0,0.19,0.19,0.38,0.19,0.38
176,Manoj Mohammed,inIND,DF,Hyderabad FC,25.0,1999.0,14,13,1157,12.9,2,2,4,2,0,0,3,0,0.16,0.16,0.31,0.16,0.31
177,Vibin Mohanan,inIND,MF,Kerala Blasters,21.0,2003.0,20,16,1433,15.9,0,1,1,0,0,0,3,0,0.0,0.06,0.06,0.0,0.06
178,Monirul Molla,inIND,FW,Bengaluru,19.0,2005.0,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
179,Hira Mondal,inIND,MF,East Bengal,27.0,1996.0,1,1,74,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
180,Filip Mrzljak,hrCRO,MF,Punjab,31.0,1993.0,17,13,1030,11.4,4,2,6,4,0,0,0,0,0.35,0.17,0.52,0.35,0.52
181,Wungngayam Muirang,inIND,DF,Jamshedpur,25.0,1999.0,6,3,359,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
182,Ankit Mukherjee,inIND,DF,Chennaiyin,28.0,1996.0,10,7,638,7.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
183,Devendra Murgaokar,inIND,"MF,FW",Hyderabad FC,25.0,1998.0,19,4,563,6.3,1,0,1,1,0,0,2,0,0.16,0.0,0.16,0.16,0.16
184,Samir Murmu,inIND,FW,Jamshedpur,22.0,2001.0,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
185,Jordan Murray,auAUS,"FW,MF",Jamshedpur,28.0,1995.0,20,14,1278,14.2,6,0,6,5,1,1,3,0,0.42,0.0,0.42,0.35,0.35
186,Narendra Naik,inIND,MF,Odisha,19.0,2005.0,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
187,Anandhu Nambrath Sundran,Unavailable,MF,East Bengal,,,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
188,Kiyan Nassiri,inIND,MF,Chennaiyin,23.0,2000.0,14,6,487,5.4,0,1,1,0,0,0,3,0,0.0,0.18,0.18,0.0,0.18
189,Mohammad Nawaz,inIND,GK,Chennaiyin,24.0,2000.0,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
190,Franklin Nazareth,inIND,MF,Mumbai City,20.0,2004.0,5,0,82,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
